Dataset,MAE e-base,MSE e-base,R2 e-base,T(entrainement-e-base)[s],PSO best R2,PSO best cost (val_loss),Paramètres optimisés,T(PSO)[s],T(entrainement-optimisé)[s],MAE optimisé,MSE optimisé,R2 optimisé,Graph_scatter,Graph_hist,Graph_courbe,T(evaluation-inference)[s],Nombre d'époques e-base,Nombre d'époques optimisé
batiment_1,0.21579037595880302,0.05871485663757819,0.019733008622042414,14.662312030792236,0.0027334250989347053,0.2291240096092224,"lr=0.00381, f1=66, f2=123, dense=91",743.6814322471619,13.750768899917603,0.2183790276137738,0.05973307730423017,0.0027334250989347053,plots\batiment_1_scatter.png,plots\batiment_1_hist.png,plots\batiment_1_courbe.png,1.1198136806488037,30,50
batiment_2,0.12177857868974536,0.02668674626603007,-0.09403681020171262,16.637469053268433,-0.36239428410866714,0.16424725949764252,"lr=0.00724, f1=99, f2=110, dense=82",1576.054170846939,84.85424089431763,0.1502706382562163,0.033232767156704916,-0.36239428410866714,plots\batiment_2_scatter.png,plots\batiment_2_hist.png,plots\batiment_2_courbe.png,4.845271110534668,30,50
batiment_3,0.17788412968606004,0.0437798171136402,0.20104899100854934,46.385794162750244,0.28173710877115665,0.2416660189628601,"lr=0.00153, f1=86, f2=64, dense=40",1406.7959768772125,14.709595441818237,0.15924355494546424,0.03935838075629703,0.28173710877115665,plots\batiment_3_scatter.png,plots\batiment_3_hist.png,plots\batiment_3_courbe.png,1.134657859802246,30,50
