Dataset,MAE e-base,MSE e-base,R2 e-base,T(entrainement-e-base)[s],PSO best R2,PSO best cost (val_loss),Paramètres optimisés,T(PSO)[s],T(entrainement-optimisé)[s],MAE optimisé,MSE optimisé,R2 optimisé,T(evaluation-inference)[s],Nombre d'époques e-base,Nombre d'époques optimisé
all_data,0.01813952683773978,0.0005788100781015155,0.4886515009654758,35.79771041870117,0.4993970085315025,0.024769384413957596,"lr=0.00678, f1=74, f2=77, dense=98",904.4417474269867,60.7455677986145,0.01741362080321488,0.0005666469289277611,0.4993970085315025,1.2153139114379883,30,50
year_week,0.017497556730398666,0.0005553745259322254,0.5093555883322995,63.29539346694946,0.5209522958044451,0.024217134341597557,"lr=0.00639, f1=63, f2=94, dense=105",1848.7902784347534,136.26172804832458,0.017092389294432336,0.0005422478790948013,0.5209522958044451,1.3692073822021484,30,50
month_year,0.018577846459841275,0.0006137890514519078,0.4577494033738808,80.1216652393341,0.5706211802095578,0.024401908740401268,"lr=0.00894, f1=38, f2=119, dense=110",1922.528561115265,153.736407995224,0.015578420732540628,0.00048602623980961897,0.5706211802095578,1.3724746704101562,30,50
day_month,0.017535427086244355,0.0005574702015962088,0.507504168245151,91.75621271133423,0.5319360125174247,0.024657243862748146,"lr=0.00380, f1=101, f2=105, dense=107",3032.6415569782257,269.3632478713989,0.017275585356005922,0.0005298150941340785,0.5319360125174247,2.9245355129241943,30,50
