,Y_test,Y_pred,Error,Error_Percent
count,735.0,735.0,735.0,735.0
mean,25.412653061224493,25.63336753845215,-0.220714802678649,31.787741790954485
std,18.185627477939562,18.200092315673828,2.2707117278924627,262.9045593454126
min,0.1,-1.666103720664978,-19.43465385437012,0.008045292933497603
25%,7.0,7.614492654800415,-1.0400519847869871,1.8068136697855337
50%,25.7,25.590604782104492,-0.1418579101562507,4.233670590528798
75%,39.849999999999994,40.13154983520508,0.5975746154785142,12.18398637378338
max,64.0,63.51570510864258,19.737741851806646,6123.355770111084
