production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1,stat_type
27.5,143.0,1.72,243.0,111.8,9.166666666666666,1.333955348176279,61.334374999999994,18.1,40.3125,66.25,85.1375,95.3,73.63541666666667,121.20954956288689,123.0,396.5,79.04166666666667,119.59198900505137,158.375,332.5,101.36458333333333,153.71831272326102,212.25,445.0,76.94583333333333,11.307724960151203,57.45,67.0625,mean
15.471428571428573,143.0,1.72,243.0,111.8,6.916666666666666,1.8318531326235337,42.06369047619047,8.257142857142856,25.77142857142857,39.1,60.67142857142857,82.45714285714287,41.738095238095234,88.332696897818,33.142857142857146,312.14285714285717,49.607142857142854,77.8299772158457,93.64285714285714,257.14285714285717,62.110119047619044,102.46507191483026,104.78571428571429,359.85714285714283,82.9735119047619,6.727513572825736,71.27142857142857,78.19285714285715,mean
21.12857142857143,143.0,1.72,243.0,111.8,10.107142857142858,2.380477213099766,38.8264880952381,0.3,11.667857142857143,37.15,64.88571428571429,84.2,58.964285714285715,107.40093846995536,67.89285714285714,368.85714285714283,55.44047619047619,87.76477868490102,95.64285714285714,269.7142857142857,75.17559523809523,122.69013642742809,123.03571428571429,394.14285714285717,84.17261904761905,8.680140874095683,67.88571428571429,77.08214285714287,mean
24.842857142857138,143.0,1.72,243.0,111.8,8.279761904761905,2.135345937764525,21.39761904761905,0.0,0.0,8.014285714285714,43.25,70.21428571428571,95.28571428571426,175.11263257011777,156.17857142857142,553.2857142857143,52.5,84.24625109182266,95.71428571428571,263.0,83.23809523809523,137.30910196852614,138.85714285714286,444.7142857142857,82.78035714285714,8.925440730985123,66.88571428571429,76.66785714285713,mean
25.742857142857144,143.0,1.72,243.0,111.8,2.708333333333333,1.8723598015653775,20.688690476190477,0.0,0.0,13.1,34.73571428571429,68.91428571428571,92.65476190476191,164.71060406947524,158.10714285714286,515.5714285714286,54.723214285714285,88.97267922137478,91.85714285714286,274.85714285714283,86.50595238095238,142.99677067049083,140.10714285714286,450.7142857142857,80.69107142857142,6.782430278906314,68.08571428571427,76.02499999999999,mean
8.585714285714285,143.0,1.72,243.0,111.8,5.48969298245614,1.2989574999967197,58.654674185463655,23.885714285714283,43.31071428571429,60.107142857142854,73.96071428571429,89.92857142857143,12.161090225563909,30.456437819850102,5.035714285714286,143.0,29.436497493734333,48.83393907587337,49.25,163.42857142857142,33.42775689223058,58.062386866385474,50.07142857142857,213.42857142857142,88.6544768170426,5.853286655826468,78.3,83.89285714285714,mean
3.142857142857143,143.0,1.72,243.0,111.8,9.668002915451895,1.236295424770202,64.24704810495628,12.057142857142855,49.04642857142857,70.96428571428571,81.80714285714285,91.74285714285715,6.016156462585035,24.381066454971894,0.0,143.57142857142858,20.087827988338194,34.580894946974425,33.5,120.14285714285714,21.694849368318756,40.063181019099204,32.964285714285715,153.71428571428572,86.50448250728861,4.472031807135864,77.60000000000001,83.42857142857143,mean
9.914285714285715,143.0,1.72,243.0,111.8,2.2857142857142856,1.1454357136931914,23.365178571428572,0.0,7.003571428571428,12.728571428571428,42.78928571428571,73.77142857142857,33.910714285714285,87.33449516581491,7.392857142857143,394.42857142857144,31.461309523809522,53.2187721924941,51.785714285714285,181.0,43.45833333333333,78.60711928830781,58.357142857142854,302.2857142857143,81.37321428571428,4.889516769185133,72.05714285714285,77.93214285714285,mean
11.585714285714285,143.0,1.72,243.0,111.8,5.636904761904762,1.44938224829399,59.48898809523809,19.271428571428572,46.699999999999996,62.050000000000004,73.58571428571429,88.84285714285714,17.127976190476186,37.00376330919157,26.071428571428573,165.0,24.142857142857142,41.528028488237055,39.714285714285715,138.28571428571428,30.333333333333332,52.380319867926,55.07142857142857,187.57142857142858,86.70178571428572,3.642479679360068,79.34285714285714,84.48214285714286,mean
1.5285714285714285,143.0,1.72,243.0,111.8,2.2261904761904763,1.5930252279774226,40.81190476190476,9.0,10.360714285714286,44.771428571428565,64.8892857142857,83.67142857142858,9.083333333333332,35.23482901006867,0.0,198.57142857142858,22.133928571428573,36.05945111156421,42.214285714285715,110.14285714285714,24.553571428571423,40.86747399713933,46.82142857142857,149.85714285714286,90.72321428571429,3.700286218070883,83.0,88.48928571428573,mean
1.85,143.0,1.72,243.0,111.8,5.364583333333334,0.966412568836543,68.53541666666666,9.2,56.4875,71.025,80.92500000000001,96.25,6.520833333333333,32.03853370308904,0.0,182.0,22.947916666666668,41.811613875828954,34.75,170.0,24.9375,51.80671086387331,33.125,241.5,92.69479166666667,1.6978170465356242,89.05000000000001,91.775,mean
7.7,143.0,1.72,243.0,111.8,2.5083333333333333,1.2603239238178554,41.939166666666665,12.88,28.175,39.760000000000005,56.045,77.36,30.366666666666664,78.57359114275042,20.65,360.8,32.57083333333333,54.03976081430958,60.05,179.4,43.43333333333333,76.40802220675289,76.35,307.0,87.50250000000001,4.095837468453378,80.46,84.715,mean
