production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,stat_type
7.8199999999999985,143.0,210.0,1.72,243.0,111.8,0.4600000000000001,2.5052304964539003,4.2,60.955673758865245,126.45868794326243,41.79859042553191,32.670833333333334,179.2,43.577216312056734,307.0,11.04265070921986,8.959999999999999,13.66,0.10953900709219852,0.0,0.38,87.47439716312057,80.46,94.17999999999999,1034.818590425532,1033.28,1037.08,270.1512411347518,194.0,328.4,4.250984042553191,1.9200000000000004,5.86,mean
3.585714285714286,143.0,210.0,1.72,243.0,111.8,0.46,2.636904761904762,3.5714285714285716,64.69642857142857,132.61309523809524,67.20059523809523,25.252976190476193,147.0,28.752976190476186,186.85714285714286,12.122023809523808,9.37142857142857,15.528571428571427,0.1964285714285714,0.028571428571428574,0.5857142857142856,87.94464285714285,81.44285714285715,92.7,1025.5175595238095,1022.4285714285714,1028.3714285714286,246.03571428571425,156.42857142857142,311.7142857142857,5.366071428571429,3.3285714285714287,7.542857142857143,mean
19.32857142857143,143.0,210.0,1.72,243.0,111.8,0.46,3.4434523809523805,5.857142857142857,71.94047619047619,144.57440476190476,41.26041666666667,42.038690476190474,225.85714285714286,63.291666666666664,369.85714285714283,10.706845238095237,8.0,13.828571428571427,0.1386904761904762,0.028571428571428574,0.38571428571428573,82.67232142857142,71.92857142857143,91.31428571428572,1015.46875,1011.4571428571428,1019.9857142857143,210.11607142857142,169.71428571428572,266.14285714285717,5.89375,3.8000000000000003,7.757142857142857,mean
6.442857142857143,143.0,210.0,1.72,243.0,111.8,0.46,-1.2172619047619047,0.42857142857142855,79.16964285714286,150.87202380952382,47.50178571428571,31.726190476190474,162.42857142857142,36.26488095238095,201.71428571428572,8.510714285714286,6.257142857142857,11.428571428571429,0.014880952380952356,0.0,0.08571428571428572,80.96249999999999,74.39999999999999,85.47142857142856,1011.9434523809524,1007.5142857142856,1016.2857142857143,151.7738095238095,82.71428571428571,220.57142857142858,3.7717261904761905,2.3428571428571425,5.385714285714286,mean
12.757142857142856,143.0,210.0,1.72,243.0,111.8,0.46,2.979166666666667,5.0,89.12202380952381,163.58630952380955,63.875,43.19345238095237,247.14285714285714,54.72023809523809,367.42857142857144,10.792559523809524,8.357142857142858,13.457142857142857,0.13095238095238093,0.014285714285714287,0.41428571428571426,84.98928571428571,74.44285714285715,91.5,997.1428571428571,992.0571428571428,1002.4,199.66666666666666,137.57142857142858,259.85714285714283,6.008035714285714,3.442857142857143,8.028571428571428,mean
29.5,143.0,210.0,1.72,243.0,111.8,0.46,3.2559523809523805,6.714285714285714,102.08035714285714,180.63690476190473,36.459226190476194,69.53273809523809,322.0,107.59523809523809,488.7142857142857,10.10654761904762,7.714285714285714,13.0,0.041666666666666644,0.0,0.21428571428571427,77.23958333333334,61.74285714285714,88.85714285714286,1021.3937500000001,1017.1999999999999,1025.0,211.9970238095238,171.71428571428572,253.14285714285714,5.361607142857143,3.4714285714285715,7.357142857142857,mean
41.94285714285714,143.0,210.0,1.72,243.0,111.8,0.46,4.886904761904761,11.0,117.30654761904762,198.7470238095238,23.152083333333334,93.05357142857143,388.57142857142856,144.32440476190476,618.0,9.65327380952381,7.828571428571428,11.771428571428572,0.06547619047619045,0.0,0.39999999999999997,73.74494047619048,50.357142857142854,88.72857142857143,1027.9383928571428,1024.0142857142857,1031.7714285714285,190.7380952380952,150.0,225.71428571428572,4.161607142857143,2.4714285714285715,6.057142857142857,mean
40.800000000000004,143.0,210.0,1.72,243.0,111.8,0.46,7.208333333333334,14.0,128.36904761904762,203.28571428571425,22.79970238095238,102.46428571428571,424.42857142857144,152.01488095238093,628.2857142857143,11.356845238095238,8.8,14.1,0.0,0.0,0.0,71.1485119047619,47.8,88.91428571428571,1027.4952380952382,1025.7285714285715,1029.5571428571427,183.2678571428571,107.28571428571429,267.42857142857144,3.7258928571428567,1.7571428571428573,5.385714285714286,mean
47.65714285714286,143.0,210.0,1.72,243.0,111.8,0.46,8.688565162907269,15.428571428571429,147.22681704260654,225.52565789473684,17.927305764411027,118.09454887218045,460.7142857142857,174.29523809523806,664.8571428571429,11.482120927318295,9.128571428571428,14.37142857142857,0.0839097744360902,0.0,0.32857142857142857,64.00461466165414,43.885714285714286,79.38571428571429,1027.1039254385964,1025.0571428571427,1029.4142857142856,141.61961152882205,111.28571428571429,183.42857142857142,4.268408521303258,2.485714285714286,6.214285714285714,mean
18.542857142857144,143.0,210.0,1.72,243.0,111.8,0.46,9.38490038872692,12.142857142857142,162.88101311953352,238.7841958211856,53.19469144800777,73.26068999028182,383.42857142857144,83.0092322643343,494.42857142857144,14.542207240038872,11.157142857142858,18.5,0.13030855199222544,0.0,0.6428571428571429,69.12631195335277,54.42857142857143,82.54285714285713,1010.8343537414966,1005.8285714285714,1015.3285714285714,211.6065962099125,183.28571428571428,234.0,8.44271137026239,6.128571428571429,10.557142857142859,mean
