production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1
0.8,143.0,1.72,218.0,94.6,6.25531914893617,0.440754546026174,42.61914893617021,0.0,21.55,53.8,61.400000000000006,80.2,18.76595744680851,79.28572785815965,0.0,389,24.106382978723403,37.07174832118482,59.0,115,29.638297872340427,52.90369656350354,57.5,246,90.04042553191489,3.9013743160733214,84.7,86.6
1.4,143.0,1.72,218.0,94.6,-0.6666666666666666,1.848902300369616,22.277083333333334,0.0,0.0,8.1,51.05,70.2,15.791666666666666,58.24451698542316,0.0,314,33.4375,54.14280025219362,59.5,150,38.0625,62.07901836592291,58.75,205,89.16041666666666,4.039261549497415,80.6,87.1
0.3,143.0,1.72,218.0,94.6,2.4791666666666665,1.2202124567944357,82.42291666666667,53.5,76.5,82.2,91.4,96.4,0.0,0.0,0.0,0,13.416666666666666,22.45357701052052,31.0,87,12.958333333333334,21.64801433902646,30.0,84,93.13958333333332,2.902657592498771,89.3,90.6
1.2,143.0,1.72,218.0,94.6,3.333333333333333,0.4763930673403308,58.41666666666666,3.9,51.4,57.8,68.55,95.9,1.0833333333333333,4.932882862316247,0.0,28,24.4375,38.51935476470707,54.0,112,23.979166666666668,37.53324176764715,52.0,108,89.50416666666666,3.671799276795769,82.2,86.52499999999999
5.3,143.0,1.72,218.0,94.6,2.708333333333333,1.030561370122446,66.27083333333333,8.2,54.45,68.4,84.0,95.8,23.5625,72.76979331528251,0.0,385,32.75,57.09994969629263,55.0,222,41.020833333333336,76.67324690385912,53.0,288,82.65833333333333,5.104767622749291,72.5,78.45
1.2,143.0,1.72,218.0,94.6,-0.0416666666666666,0.8981857205792589,74.31875000000001,17.0,65.15,71.6,91.525,93.4,0.0,0.0,0.0,0,21.104166666666668,35.81408232675802,30.75,111,20.375,34.56269357608059,29.75,107,89.04583333333333,2.06675388742968,84.3,87.625
0.2,143.0,1.72,218.0,94.6,7.083333333333333,1.595650115401288,84.03333333333333,48.9,78.15,89.75,95.225,96.1,0.0,0.0,0.0,0,14.1875,24.668574418271263,19.5,79,13.6875,23.788211142532383,18.5,76,91.22708333333333,2.118483960472705,88.0,89.475
5.0,143.0,1.72,218.0,94.6,3.4375,1.8439810078866885,25.6625,0.0,0.0,15.05,49.525,67.9,13.5,53.579926377686434,0.0,277,35.4375,57.08705791027476,51.5,169,39.22916666666666,65.42764058471212,58.75,242,84.32916666666667,7.673662010571115,70.5,78.1
12.2,143.0,1.72,218.0,94.6,5.791666666666667,1.529265340701052,53.37916666666666,2.0,34.15,65.9,70.175,81.1,55.25,134.72280446365863,0.0,574,43.5625,80.36562890011275,51.25,271,63.645833333333336,124.8047819568256,49.25,469,77.84166666666667,4.385849263126272,71.3,74.125
41.7,143.0,1.72,218.0,94.6,-2.208333333333333,1.8560806720056395,9.402083333333334,0.0,0.0,0.0,0.0,85.4,230.47916666666663,338.7201185428373,598.75,828,78.77083333333333,126.79254954675916,142.25,356,159.4375,247.68759546414208,332.25,671,84.40208333333334,8.481606872629982,68.8,78.425
