Dataset,MAE e-base,MSE e-base,R2 e-base,T(entrainement-e-base)[s],Optuna best R2,Paramètres optimisés,T(entrainement-optimisé)[s],MAE optimisé,MSE optimisé,R2 optimisé,Graph_scatter,Graph_hist,Graph_courbe,T(evaluation-inference)[s],Nombre d'époques e-base,Nombre d'époques optimisé
batiment_1,0.18745136884495622,0.06172760087725135,-0.03056590890483002,24.55086374282837,0.05259533529479521,"lr=0.00322, f1=99, f2=37, dense=122",206.8439576625824,0.1764971833982341,0.05674650840557698,0.05259533529479521,plots\batiment_1_scatter.png,plots\batiment_1_hist.png,plots\batiment_1_courbe.png,1.978961706161499,20,100
batiment_2,0.1406948858781472,0.031627936282833155,-0.29660342175843746,44.09239745140076,-0.03033789352478422,"lr=0.00398, f1=80, f2=59, dense=94",29.973486185073853,0.11969436899183561,0.025132944043904877,-0.03033789352478422,plots\batiment_2_scatter.png,plots\batiment_2_hist.png,plots\batiment_2_courbe.png,1.0395739078521729,20,100
batiment_3,0.1505701411058482,0.043247130527041086,0.21077014824259765,20.04482650756836,0.16105358577611228,"lr=0.00284, f1=81, f2=78, dense=67",154.9919514656067,0.15082678729620155,0.045971430249810305,0.16105358577611228,plots\batiment_3_scatter.png,plots\batiment_3_hist.png,plots\batiment_3_courbe.png,2.115067958831787,20,100
batiment_4,0.18212096102122763,0.07456341322753567,0.23320895672018116,32.90990614891052,0.22106392294802102,"lr=0.00084, f1=44, f2=42, dense=105",109.25724506378174,0.17770732279950996,0.07574440664125959,0.22106392294802102,plots\batiment_4_scatter.png,plots\batiment_4_hist.png,plots\batiment_4_courbe.png,1.4880127906799316,20,100
batiment_5,0.1303335312625449,0.026718665175106657,0.1463800606320167,53.05379056930542,0.317006944757219,"lr=0.00348, f1=58, f2=78, dense=34",185.59815740585327,0.10376554036552457,0.021377971528484006,0.317006944757219,plots\batiment_5_scatter.png,plots\batiment_5_hist.png,plots\batiment_5_courbe.png,1.8989312648773193,20,100
batiment_6,0.225066734822155,0.0726282710064473,0.015912301263998008,33.00261569023132,0.24761154992310674,"lr=0.00274, f1=75, f2=113, dense=32",221.83321070671082,0.18178233003301347,0.055528254569682196,0.24761154992310674,plots\batiment_6_scatter.png,plots\batiment_6_hist.png,plots\batiment_6_courbe.png,1.8108081817626953,20,100
batiment_7,0.181426013219736,0.03831798834789506,-0.27192559173649933,21.99969792366028,-0.47933807294666986,"lr=0.00100, f1=41, f2=62, dense=56",17.61881995201111,0.18871696132264193,0.044566489903217016,-0.47933807294666986,plots\batiment_7_scatter.png,plots\batiment_7_hist.png,plots\batiment_7_courbe.png,0.7788398265838623,20,100
batiment_8,0.1869278060832644,0.058310658614237856,0.05771438059656753,36.225128412246704,0.1031529109096978,"lr=0.00271, f1=78, f2=39, dense=71",182.45026683807373,0.17956706737357425,0.05549882473450711,0.1031529109096978,plots\batiment_8_scatter.png,plots\batiment_8_hist.png,plots\batiment_8_courbe.png,1.7451863288879395,20,100
batiment_9,0.19319068598341083,0.05925165025839885,0.06280232219608473,39.61977791786194,0.07504070735794544,"lr=0.00055, f1=124, f2=79, dense=117",248.4167823791504,0.1846720121565266,0.05847791326084531,0.07504070735794544,plots\batiment_9_scatter.png,plots\batiment_9_hist.png,plots\batiment_9_courbe.png,2.1145384311676025,20,100
