production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
0.9,143.0,210,1.72,243.0,111.8,0.46,6.25531914893617,7,61.361702127659576,129.08510638297872,42.761702127659575,24.0,115,29.53191489361702,245,11.636170212765958,9.1,14.0,0.0893617021276595,0.0,0.5,90.05531914893618,84.7,95.9,1031.7617021276596,1030.6,1034.4,256.2978723404256,227,312,5.036170212765957,2.2,7.4
27.4,143.0,210,1.72,243.0,111.8,0.46,3.375,5,59.520833333333336,120.47916666666669,4.345833333333333,49.16666666666666,279,82.54166666666667,524,7.347916666666666,5.9,9.0,0.0416666666666666,0.0,0.2,75.21249999999999,67.1,83.8,1034.69375,1031.4,1038.0,317.375,294,339,6.23125,2.0,7.6
1.6,143.0,210,1.72,243.0,111.8,0.46,-0.6666666666666666,2,59.91666666666666,121.60416666666669,22.285416666666663,33.4375,148,38.10416666666666,205,9.016666666666667,6.5,11.6,0.0520833333333333,0.0,0.3,89.1375,80.6,95.2,1038.125,1037.4,1039.1,290.7708333333333,211,345,2.1437500000000003,1.1,3.5
9.0,143.0,210,1.72,243.0,111.8,0.46,1.0833333333333333,3,63.16666666666666,134.9375,57.15,43.395833333333336,268,54.85416666666666,478,11.30625,10.1,13.2,0.0291666666666666,0.0,0.1,89.77291666666667,80.6,97.6,1036.9145833333334,1035.5,1038.4,226.6458333333333,2,359,2.6354166666666665,0.6,4.6
0.2,143.0,210,1.72,243.0,111.8,0.46,2.4791666666666665,4,60.8125,126.1875,82.45,13.354166666666666,86,12.854166666666666,83,15.90625,13.2,20.5,0.3354166666666667,0.0,0.8,93.19375,89.3,98.4,1032.5979166666666,1031.5,1035.5,259.6666666666667,236,287,5.208333333333333,3.7,6.2
0.7,143.0,210,1.72,243.0,111.8,0.46,3.75,4,62.75,131.625,74.70625,20.916666666666668,98,20.20833333333333,94,14.25,13.2,15.4,0.2979166666666666,0.1,0.5,92.87708333333336,91.4,94.5,1033.225,1031.7,1034.8,276.5,235,290,3.9375,2.5,5.8
1.4,143.0,210,1.72,243.0,111.8,0.46,3.333333333333333,4,64.64583333333333,135.60416666666666,58.41458333333333,24.4375,112,24.08333333333333,108,13.114583333333334,9.7,19.7,0.0625,0.0,0.3,89.55624999999999,82.2,94.3,1033.3979166666666,1028.7,1034.8,254.2708333333333,213,298,3.2854166666666664,1.7,7.7
12.3,143.0,210,1.72,243.0,111.8,0.46,4.833333333333333,6,64.27083333333333,132.91666666666666,68.11458333333333,41.3125,270,60.458333333333336,500,12.85625,9.3,19.3,0.325,0.1,0.7,85.91458333333333,78.6,93.5,1021.04375,1018.2,1028.2,251.66666666666663,214,285,8.547916666666667,6.9,9.7
7.6,143.0,210,1.72,243.0,111.8,0.46,2.708333333333333,4,64.1875,129.6875,66.27499999999999,32.833333333333336,224,41.270833333333336,292,9.3875,8.6,10.5,0.1583333333333333,0.0,0.6,82.70416666666667,72.5,90.2,1017.025,1015.4,1019.8,308.8333333333333,0,360,6.610416666666667,3.7,8.4
0.6,143.0,210,1.72,243.0,111.8,0.46,1.0,2,64.3125,128.27083333333334,45.23125,17.375,110,16.75,106,7.629166666666666,5.7,9.2,0.0354166666666666,0.0,0.1,84.60416666666667,75.3,89.9,1023.8666666666668,1019.9,1026.7,156.83333333333334,2,359,4.454166666666667,2.3,5.5
