production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1
0.4,143.0,1.72,251.0,111.8,6.25531914893617,0.440754546026174,42.49787234042553,0.0,21.25,53.8,60.900000000000006,80.2,18.829787234042552,79.58351346334952,0.0,389,24.127659574468087,37.10948374113772,59.5,115,29.78723404255319,53.15601981133617,58.0,248,90.01489361702127,3.9343514311877135,84.7,86.6
4.6,143.0,1.72,251.0,111.8,3.375,1.5659270926752842,4.497916666666667,0.0,0.0,0.0,1.0,42.8,86.375,166.53191183546312,64.25,583,49.16666666666666,81.94194450648303,83.5,279,82.08333333333333,141.3642997656302,155.25,524,75.15416666666667,4.334422258162754,67.1,72.95
0.9,143.0,1.72,251.0,111.8,-0.6666666666666666,1.848902300369616,22.275,0.0,0.0,8.1,51.8,70.2,16.1875,58.92030544402346,0.0,315,33.479166666666664,54.23314115271934,60.25,151,38.22916666666666,62.521226891806414,58.75,209,89.13125000000001,4.020381915276317,80.6,87.1
3.7,143.0,1.72,251.0,111.8,1.0833333333333333,1.217484908960312,56.97291666666666,10.7,35.975,54.7,73.55,96.7,31.58333333333333,91.46952366151936,1.25,526,43.91666666666666,76.12722646943784,68.0,269,56.25,107.41498370061906,82.75,483,89.77291666666667,5.344782286963193,80.6,86.2
0.0,143.0,1.72,251.0,111.8,2.4791666666666665,1.2202124567944357,82.26458333333333,53.5,76.425,81.5,91.4,96.4,0.0,0.0,0.0,0,13.375,22.33556938102246,31.0,87,12.916666666666666,21.56024052813896,30.0,84,93.1625,2.8465451250482863,89.3,90.7
0.4,143.0,1.72,251.0,111.8,3.75,0.4375949744936837,74.53958333333334,47.4,67.3,72.0,81.175,95.9,0.0,0.0,0.0,0,21.0,34.23262099847939,43.5,98,20.291666666666668,33.03122850784676,42.25,94,92.79375,0.7869700175423635,91.2,92.0
0.8,143.0,1.72,251.0,111.8,3.333333333333333,0.4763930673403308,58.41875,4.1,51.525,57.8,69.0,95.9,1.125,5.349985086477523,0.0,34,24.39583333333333,38.47615430828047,53.25,112,23.979166666666668,37.48275608257882,52.0,108,89.50416666666666,3.671799276795769,82.2,86.52499999999999
2.7,143.0,1.72,251.0,111.8,4.833333333333333,1.0175760378997736,68.15833333333333,8.5,54.4,68.75,95.575,96.5,45.16666666666666,131.17818535128748,0.0,521,41.125,80.36502494271096,35.5,264,59.41666666666666,131.2256191472053,34.5,479,85.91250000000001,4.460255931975573,78.6,81.975
2.4,143.0,1.72,251.0,111.8,2.708333333333333,1.030561370122446,66.21666666666667,8.2,54.45,68.4,84.0,95.8,23.58333333333333,72.87553753922647,0.0,386,32.833333333333336,57.20412622125774,55.0,222,41.0625,76.70679357691247,53.0,288,82.63125000000001,5.082642814395223,72.5,78.45
0.2,143.0,1.72,251.0,111.8,1.0,1.0105823052798224,45.28541666666666,0.0,0.0,61.8,74.625,88.2,0.0,0.0,0.0,0,17.208333333333332,28.11977295793254,35.0,109,16.666666666666668,27.228218570534924,34.0,105,84.46875,4.889422201864466,75.3,79.7
0.8,143.0,1.72,251.0,111.8,-0.0416666666666666,0.8981857205792589,74.28125,17.0,65.15,71.6,91.525,93.4,0.0,0.0,0.0,0,21.104166666666668,35.81408232675802,30.75,111,20.354166666666668,34.56938110422398,29.75,107,89.04583333333333,2.06675388742968,84.3,87.625
0.6,143.0,1.72,251.0,111.8,2.895833333333333,1.2245638968990773,83.37083333333334,56.2,76.3,88.4,91.375,96.8,0.0,0.0,0.0,0,18.666666666666668,30.53378549635777,40.5,103,18.02083333333333,29.46508181049716,39.25,99,90.75,2.9479888564701726,85.8,87.675
