production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
21.38201,110.2,150,1.08,74.7,74.7,1.0,8.76595744680851,13,366.4468085106383,373.06382978723406,5.76595744680851,363.3191489361702,981,372.531914893617,1080,10.040425531914892,7.4,12.5,0.0638297872340425,0.0,0.4,68.07659574468084,43.4,91.6,850.168085106383,849.1,851.1,255.3617021276596,212,310,1.574468085106383,0.8,2.7
10.873335,110.2,150,1.08,74.7,74.7,1.0,8.395833333333334,11,355.2291666666667,359.6041666666667,38.2625,149.8125,616,145.02083333333334,630,13.535416666666668,11.0,15.8,0.225,0.0,0.8,83.76458333333333,68.8,93.1,852.6520833333334,850.6,855.8,215.35416666666663,191,241,1.7,0.7,3.0
14.333245,110.2,150,1.08,74.7,74.7,1.0,10.041666666666666,14,355.6041666666667,359.375,26.7375,216.7083333333333,711,208.3333333333333,744,15.929166666666667,13.3,16.7,0.0791666666666666,0.0,0.6,73.36458333333333,58.8,91.9,856.7104166666667,855.7,857.9,216.6458333333333,0,340,1.325,0.2,2.3
13.78323,110.2,150,1.08,74.7,74.7,1.0,11.3125,16,353.9166666666667,356.75,30.74375,199.97916666666663,694,196.22916666666663,718,15.075,13.1,17.0,0.1958333333333333,0.0,1.5,75.37916666666666,57.9,91.0,857.5520833333334,856.8,858.2,218.9375,192,280,1.6708333333333334,0.2,3.1
10.010815,110.2,150,1.08,74.7,74.7,1.0,9.875,14,350.8125,353.1666666666667,43.333333333333336,171.33333333333334,617,162.8125,627,16.389583333333334,12.8,19.1,0.3791666666666666,0.0,2.0,82.93333333333334,68.0,97.3,854.8874999999999,853.5,856.9,205.97916666666663,1,356,1.48125,0.3,3.1
18.6862,110.2,150,1.08,74.7,74.7,1.0,9.083333333333334,13,359.5416666666667,360.875,28.05208333333333,249.8958333333333,774,242.79166666666663,815,15.80625,12.2,19.9,0.1625,0.0,0.7,77.22083333333333,57.1,95.8,852.44375,851.4,854.2,162.0625,1,360,1.6916666666666669,0.4,2.9
13.33996,110.2,150,1.08,74.7,74.7,1.0,9.583333333333334,13,358.7083333333333,358.9583333333333,46.9625,158.39583333333334,448,153.1875,434,16.966666666666665,15.2,19.1,0.3458333333333334,0.0,2.7,83.55624999999999,67.6,95.8,852.5187500000001,851.8,853.6,118.5,0,359,1.0770833333333334,0.3,1.9
9.820045,110.2,150,1.08,74.7,74.7,1.0,9.1875,13,351.9583333333333,352.3541666666667,47.239583333333336,149.60416666666666,417,141.6875,403,18.7375,16.8,21.2,0.525,0.0,1.9,87.19791666666667,69.0,99.3,853.5645833333333,853.1,854.5,81.14583333333333,10,354,1.30625,0.4,2.2
14.574205,110.2,150,1.08,74.7,74.7,1.0,9.333333333333334,14,354.3541666666667,353.3541666666667,45.65416666666667,175.41666666666666,596,171.04166666666666,604,17.247916666666665,15.5,20.0,0.3333333333333333,0.0,1.3,81.7875,59.3,98.3,854.1020833333333,853.4,854.6,151.9375,1,359,1.4104166666666669,0.3,2.3
18.54258,110.2,150,1.08,74.7,74.7,1.0,10.354166666666666,15,359.625,359.1041666666667,16.597916666666666,299.9583333333333,786,290.5208333333333,835,14.822916666666666,11.1,16.7,0.175,0.0,1.9,75.98541666666667,54.9,93.5,853.9666666666667,853.2,854.6,156.70833333333334,0,359,1.4666666666666668,0.1,2.8
