production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
1.1,143.0,210,1.72,251.0,111.8,0.445,2.395833333333333,3,82.64583333333333,148.64583333333334,69.64999999999999,24.104166666666668,110,23.27083333333333,106,10.120833333333334,7.0,11.3,0.2125,0.0,0.5,87.92083333333333,85.4,90.4,1000.7020833333332,997.5,1007.6,246.3958333333333,217,282,8.083333333333334,4.5,9.6
21.5,143.0,210,1.72,251.0,111.8,0.445,1.2916666666666667,4,90.64583333333331,170.3125,50.020833333333336,67.54166666666667,371,100.89583333333331,665,7.10625,6.2,8.5,0.0,0.0,0.0,82.31041666666667,65.8,91.7,1005.2583333333332,995.5,1010.0,189.7083333333333,121,264,4.239583333333333,2.6,5.3
3.7,143.0,210,1.72,251.0,111.8,0.445,0.875,3,86.97916666666667,156.6875,50.32291666666666,32.5625,171,31.95833333333333,165,8.825000000000001,6.1,10.8,0.0541666666666666,0.0,0.3,79.33125,70.5,87.3,995.2854166666666,990.6,999.8,190.41666666666663,124,241,8.010416666666666,4.0,11.3
18.2,143.0,210,1.72,251.0,111.8,0.445,1.2291666666666667,4,95.10416666666669,177.97916666666666,59.04166666666666,61.60416666666666,330,84.8125,577,8.543750000000001,5.8,14.7,0.1166666666666666,0.0,0.5,81.55416666666666,66.9,90.2,995.8625,990.6,998.5,160.25,109,191,5.422916666666667,2.8,7.4
1.0,143.0,210,1.72,251.0,111.8,0.445,4.229166666666667,6,90.14583333333331,162.5,77.03958333333334,25.64583333333333,147,24.791666666666668,142,16.152083333333334,13.8,18.5,0.3229166666666667,0.1,0.8,92.53958333333333,83.9,97.7,989.7875,988.2,991.2,130.60416666666666,45,203,3.695833333333333,1.6,7.1
14.6,143.0,210,1.72,251.0,111.8,0.445,4.791666666666667,7,93.16666666666669,167.35416666666666,66.16250000000001,61.458333333333336,376,87.0,651,11.854166666666666,10.1,13.9,0.00625,0.0,0.1,91.89791666666667,78.7,97.7,996.675,990.0,1005.3,264.4166666666667,156,358,3.1625,1.9,4.8
1.8,143.0,210,1.72,251.0,111.8,0.445,2.5625,4,93.35416666666669,164.14583333333334,63.56041666666667,30.20833333333333,174,29.125,168,10.454166666666667,7.3,13.8,0.1041666666666666,0.0,0.4,82.125,69.5,92.8,1017.0020833333332,1005.6,1028.2,339.3333333333333,303,355,5.33125,1.7,7.7
37.4,143.0,210,1.72,251.0,111.8,0.445,0.7916666666666666,5,102.9375,188.16666666666663,23.875,100.5625,423,178.47916666666666,731,6.466666666666666,5.5,8.5,0.0,0.0,0.0,78.44166666666666,58.2,92.0,1028.49375,1027.3,1030.2,166.375,20,343,1.9145833333333333,0.2,4.1
42.9,143.0,210,1.72,251.0,111.8,0.445,0.6458333333333334,5,104.0,188.35416666666663,1.2458333333333331,103.72916666666669,433,187.3333333333333,741,7.316666666666666,6.4,8.5,0.0,0.0,0.0,79.64583333333333,61.9,91.4,1028.6229166666667,1027.4,1029.6,176.5,131,218,2.4479166666666665,0.8,4.0
41.5,143.0,210,1.72,251.0,111.8,0.445,1.0208333333333333,7,106.97916666666669,193.54166666666663,17.633333333333333,105.10416666666669,443,186.66666666666663,758,6.6000000000000005,6.1,7.1,0.0,0.0,0.0,74.96249999999999,53.4,85.3,1025.6625,1020.7,1028.7,189.8958333333333,179,204,3.5270833333333336,2.6,4.8
1.4,143.0,210,1.72,251.0,111.8,0.445,2.5625,5,99.95833333333331,173.47916666666666,53.59375,23.75,150,22.875,144,13.252083333333331,7.2,19.3,0.13125,0.0,0.5,82.28125,66.5,93.2,1017.3833333333332,1015.6,1020.7,203.3958333333333,191,219,7.358333333333333,5.1,8.5
21.6,143.0,210,1.72,251.0,111.8,0.445,6.354166666666667,10,102.33333333333331,176.64583333333334,28.7875,76.875,361,102.89583333333331,598,13.416666666666666,10.8,16.8,0.0020833333333333,0.0,0.1,76.28125,63.5,89.8,1017.1375,1011.6,1020.2,194.3333333333333,184,205,7.672916666666667,6.4,10.2
7.4,143.0,210,1.72,251.0,111.8,0.445,8.854166666666666,11,105.16666666666669,180.35416666666663,66.53958333333334,46.333333333333336,261,45.208333333333336,263,13.227083333333333,10.7,16.8,0.0541666666666666,0.0,0.5,67.12916666666666,59.6,77.6,1013.2875,1010.0,1015.2,214.2083333333333,194,228,9.295833333333333,7.6,12.2
1.4,143.0,210,1.72,251.0,111.8,0.445,8.8125,13,105.45833333333331,180.91666666666663,75.50416666666666,29.666666666666668,140,28.625,135,16.181250000000002,11.6,21.0,0.3729166666666666,0.0,2.4,70.55208333333333,55.6,84.5,1004.4229166666668,998.4,1012.8,213.9375,186,245,11.135416666666666,7.8,14.0
10.2,143.0,210,1.72,251.0,111.8,0.445,4.645833333333333,6,111.875,191.2083333333333,48.4375,53.3125,277,61.85416666666666,450,9.329166666666667,8.4,12.1,0.06875,0.0,0.2,78.78958333333334,68.7,91.4,1020.78125,1009.4,1030.9,266.5208333333333,248,279,6.241666666666667,3.7,8.7
15.9,143.0,210,1.72,251.0,111.8,0.445,2.6875,6,115.5,198.7708333333333,32.21458333333333,81.20833333333333,361,102.14583333333331,606,10.154166666666669,7.4,12.7,0.0125,0.0,0.1,82.63333333333334,58.4,96.5,1035.24375,1031.5,1037.7,249.10416666666663,165,313,2.325,0.6,4.7
48.8,143.0,210,1.72,251.0,111.8,0.445,2.208333333333333,9,116.79166666666669,197.3958333333333,2.3208333333333333,116.625,468,196.75,758,10.420833333333333,9.8,11.6,0.0,0.0,0.0,75.67916666666666,46.8,93.3,1036.8270833333331,1035.8,1037.7,129.95833333333334,88,173,1.29375,0.9,2.0
49.7,143.0,210,1.72,251.0,111.8,0.445,4.333333333333333,12,118.8125,198.66666666666663,3.189583333333333,118.58333333333331,475,197.8333333333333,767,9.495833333333334,7.9,10.3,0.0,0.0,0.0,71.68333333333334,44.6,86.1,1035.875,1034.4,1037.4,140.72916666666666,85,192,1.9104166666666669,0.6,3.7
49.0,143.0,210,1.72,251.0,111.8,0.445,5.4375,15,125.0,210.2083333333333,0.0,125.0,494,210.2083333333333,795,6.102083333333333,4.8,7.8,0.0,0.0,0.0,70.32708333333333,41.3,86.2,1032.0458333333331,1029.5,1034.4,145.1875,88,185,1.9666666666666668,0.8,3.6
50.0,143.0,210,1.72,251.0,111.8,0.445,6.083333333333333,16,127.83333333333331,214.1875,0.0458333333333333,127.72916666666669,501,213.85416666666663,805,5.852083333333333,4.7,6.8,0.0,0.0,0.0,66.45208333333333,37.8,81.8,1028.3270833333331,1026.8,1029.6,191.22916666666663,187,196,4.2375,2.9,5.7
