production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1
0.9,143.0,1.72,243.0,111.8,6.25531914893617,0.440754546026174,42.5404255319149,0.0,21.35,53.8,61.05,80.2,18.76595744680851,79.28572785815965,0.0,389,24.106382978723403,37.0864055970784,59.0,115,29.680851063829788,52.91712403987248,57.5,246,90.04042553191489,3.9013743160733214,84.7,86.6
21.2,143.0,1.72,243.0,111.8,3.375,1.5659270926752842,4.547916666666667,0.0,0.0,0.0,1.0,42.8,85.89583333333333,166.12687276479363,64.25,583,49.10416666666666,81.83175255944575,83.5,279,81.79166666666667,141.03537481906662,155.25,524,75.15416666666667,4.334422258162754,67.1,72.95
1.5,143.0,1.72,243.0,111.8,-0.6666666666666666,1.848902300369616,22.266666666666666,0.0,0.0,8.1,51.35,70.2,16.166666666666668,58.92452198177039,0.0,315,33.5,54.25824773072303,60.25,151,38.270833333333336,62.5707223980868,58.75,209,89.13125000000001,4.020381915276317,80.6,87.1
7.0,143.0,1.72,243.0,111.8,1.0833333333333333,1.217484908960312,56.98541666666667,10.7,35.975,54.7,73.525,96.8,31.58333333333333,91.46952366151936,1.25,526,43.91666666666666,76.12722646943784,68.0,269,56.25,107.41498370061906,82.75,483,89.77291666666667,5.344782286963193,80.6,86.2
0.1,143.0,1.72,243.0,111.8,2.4791666666666665,1.2202124567944357,82.27708333333334,53.5,76.575,81.5,91.4,96.4,0.0,0.0,0.0,0,13.395833333333334,22.371847414498177,31.0,87,12.916666666666666,21.561227349636084,30.0,84,93.1625,2.8465451250482863,89.3,90.7
0.7,143.0,1.72,243.0,111.8,3.75,0.4375949744936837,74.56458333333333,47.4,67.3,71.8,81.175,95.9,0.0,0.0,0.0,0,20.979166666666668,34.20681130588339,43.25,98,20.291666666666668,33.02027638409875,42.25,94,92.79375,0.7869700175423635,91.2,92.0
1.4,143.0,1.72,243.0,111.8,3.333333333333333,0.4763930673403308,58.42291666666667,4.1,51.525,57.900000000000006,69.0,95.9,1.125,5.349985086477523,0.0,34,24.39583333333333,38.47615430828047,53.25,112,23.979166666666668,37.48275608257882,52.0,108,89.50416666666666,3.671799276795769,82.2,86.52499999999999
11.4,143.0,1.72,243.0,111.8,4.833333333333333,1.0175760378997736,68.15208333333334,8.5,53.8,69.25,95.5,96.5,45.25,131.7483901149169,0.0,521,41.125,80.3607888399481,35.5,264,59.41666666666666,131.2917545876169,34.5,479,85.86041666666667,4.434858993336775,78.6,81.975
5.8,143.0,1.72,243.0,111.8,2.708333333333333,1.030561370122446,66.25,8.2,54.45,68.4,84.0,95.8,23.58333333333333,72.87553753922647,0.0,386,32.791666666666664,57.15673052206215,55.0,222,41.04166666666666,76.6911347017631,53.0,288,82.63125000000001,5.082642814395223,72.5,78.45
0.5,143.0,1.72,243.0,111.8,1.0,1.0105823052798224,45.24375,0.0,0.0,61.5,74.625,88.2,0.0,0.0,0.0,0,17.25,28.13682375578007,35.25,109,16.6875,27.24214214247181,34.25,105,84.46875,4.889422201864466,75.3,79.7
