production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1
47.8,143.0,1.72,243.0,111.8,10.75,1.6821971448205937,47.9875,0.0,19.825000000000003,52.8,82.875,94.0,145.45833333333334,235.45519141255,246.0,755,104.6875,153.0537600238779,233.75,401,150.35416666666666,222.39580295895612,344.5,618,76.15833333333333,11.883169455665303,55.0,66.25
7.2,143.0,1.72,243.0,111.8,7.583333333333333,0.9857135515319644,74.68124999999999,36.2,60.8,79.7,87.4,96.6,1.8125,6.963907713223793,0.0,38,53.395833333333336,86.13021798622485,83.0,264,52.375,85.04082248756595,80.0,272,77.73333333333333,10.732280464637103,59.9,67.875
1.6,143.0,1.72,243.0,111.8,5.125,0.5696210012862792,81.68958333333333,57.8,73.44999999999999,84.1,87.82499999999999,96.8,0.0,0.0,0.0,0,27.25,41.15073485034507,51.75,148,26.291666666666668,39.70098789345565,50.5,143,87.5,1.2721233715094,85.9,86.57499999999999
1.8,143.0,1.72,243.0,111.8,5.583333333333333,0.4982237954520144,64.48958333333333,0.0,66.7,75.1,83.64999999999999,93.0,0.0,0.0,0.0,0,30.4375,45.34778431801483,63.25,134,29.39583333333333,43.808451328498464,61.25,129,86.19791666666667,3.472842332333596,81.2,83.275
3.1,143.0,1.72,243.0,111.8,5.604166666666667,1.0260351977151436,35.06875,0.0,0.0,8.7,74.14999999999999,86.3,0.0208333333333333,0.1443375672974064,0.0,1,29.416666666666668,44.27276831399181,53.25,137,28.4375,42.75158638340656,51.25,132,81.14583333333333,8.038629033460161,69.1,76.07499999999999
6.6,143.0,1.72,243.0,111.8,6.0625,2.890970903685723,49.78333333333333,0.0,40.25,57.25,70.575,87.3,1.75,11.833058632312472,0.0,82,39.22916666666666,62.95937210186417,62.5,258,38.645833333333336,63.55814546232394,60.5,284,80.75208333333333,9.712176818103108,61.9,74.425
21.1,143.0,1.72,243.0,111.8,7.979166666666667,2.9281435795901536,37.00208333333334,0.0,0.0,48.55,72.125,84.4,68.5625,182.8674565058972,0.0,651,53.25,93.40360829514668,72.25,329,72.9375,141.8963370870559,70.0,540,84.95833333333333,6.587410085246378,72.7,80.675
36.2,143.0,1.72,243.0,111.8,8.916666666666666,2.766312034009096,10.21875,0.0,0.0,0.0,12.45,58.0,105.52083333333331,221.07416581495937,29.5,767,81.35416666666667,128.53139190747822,168.25,412,114.77083333333331,195.35643796560663,176.25,677,83.40416666666667,9.67609377694026,65.7,76.075
37.9,143.0,1.72,243.0,111.8,9.145833333333334,2.143665416626325,16.19375,0.0,0.0,0.0,23.925,71.4,116.3125,202.4098597642596,202.5,684,86.3125,129.14418072407915,184.25,382,124.29166666666669,190.18355728346472,263.75,614,76.85625,8.333319592187248,62.4,70.25
33.9,143.0,1.72,243.0,111.8,8.916666666666666,2.239237458860297,26.508333333333336,0.0,0.0,8.05,57.725,86.9,119.0625,221.3093921966893,58.75,706,82.125,133.92227421872315,107.0,399,122.91666666666669,209.9485077025432,133.25,646,87.12916666666666,7.447917268015644,73.7,80.4
1.7,143.0,1.72,243.0,111.8,9.354166666666666,2.3291819706674426,42.82291666666666,0.0,0.0,62.8,72.4,84.0,2.1666666666666665,11.886579833654588,0.0,79,27.979166666666668,40.07572066132838,62.5,115,27.45833333333333,38.71277667662428,60.25,111,87.47291666666666,9.02294332275637,68.7,79.75
1.2,143.0,1.72,243.0,111.8,9.291666666666666,2.8356269398219456,44.5375,0.0,23.975,56.2,66.775,83.4,0.0,0.0,0.0,0,27.52083333333333,41.61167470351567,55.25,132,26.5625,40.21268258181158,53.25,128,85.45,7.754202703983692,71.5,79.9
