,Y_test,Y_pred,Error,Error_Percent
count,1075.0,1075.0,1075.0,1075.0
mean,23.244139534883722,23.147052764892578,0.09708577697776086,51.752467347644796
std,17.978242412979128,17.472925186157227,3.775438219350823,217.14737121306246
min,0.1,-2.9210801124572754,-35.48415069580078,0.025474734422637195
25%,5.45,6.096530199050903,-1.1650337219238267,2.746496191582483
50%,21.7,22.106340408325195,-0.00834960937499929,7.312669486642992
75%,37.2,35.898338317871094,1.251755714416504,22.655247668830718
max,78.65,70.43415069580078,31.664752388000487,4514.675045013428
