production,p_per_m2,panel_area,facade_area,total_panel_area,air_temp_mean,air_temp_std,cloud_opacity_mean,cloud_opacity_min,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,cloud_opacity_max,dni_mean,dni_std,dni_q3,dni_max,ghi_mean,ghi_std,ghi_q3,ghi_max,gti_mean,gti_std,gti_q3,gti_max,precipitation_rate_std,relative_humidity_mean,relative_humidity_std,relative_humidity_min,relative_humidity_q1
14.614285714285716,143.0,1.72,218.0,94.6,3.4464285714285716,1.7898639234843732,41.24583333333333,8.557142857142857,25.189285714285713,41.699999999999996,55.192857142857136,79.62857142857142,60.744047619047606,116.83305000425207,87.21428571428571,422.42857142857144,42.041666666666664,71.09461973023409,62.214285714285715,225.42857142857142,63.21130952380952,108.76035578177967,95.39285714285714,370.14285714285717,0.10024100678146895,82.66130952380952,6.008654955362711,71.91428571428571,78.39642857142857
30.32857142857143,143.0,1.72,218.0,94.6,4.886904761904761,3.665271475947106,23.135714285714283,6.771428571428571,14.325,22.964285714285715,29.599999999999998,53.32857142857143,170.28571428571428,243.41233501942503,398.39285714285717,681.7142857142857,93.08035714285714,137.46844935828145,194.89285714285714,388.42857142857144,144.35119047619045,211.5683990951764,306.10714285714283,617.8571428571429,0.10200135331586106,73.74940476190477,12.504693001890937,50.385714285714286,63.475
37.25714285714286,143.0,1.72,218.0,94.6,7.342261904761905,4.26682209231308,9.847023809523808,0.0,0.0,2.1,16.757142857142856,49.91428571428571,261.88690476190476,331.0401650809531,564.3214285714286,864.4285714285714,169.6755952380952,219.38890497322004,358.92857142857144,610.8571428571429,221.27083333333331,290.2281474621373,463.10714285714283,810.1428571428571,0.06064737427770158,66.20595238095238,16.13562143012845,42.4,50.778571428571425
33.457142857142856,143.0,1.72,218.0,94.6,12.029761904761903,4.636698702607343,14.39077380952381,0.0,0.26785714285714285,9.385714285714286,26.092857142857145,42.44285714285714,267.01190476190476,306.5403536808523,504.14285714285717,800.8571428571429,224.70833333333331,266.8807193476105,452.64285714285717,724.5714285714286,254.97619047619045,314.7196571377256,509.75,871.2857142857143,0.05469394771001708,64.13988095238095,15.186874443279404,40.91428571428571,50.503571428571426
31.185714285714283,143.0,1.72,218.0,94.6,11.55952380952381,3.5899125838178563,11.914880952380953,1.9142857142857144,3.9714285714285715,8.228571428571428,16.410714285714285,43.885714285714286,320.2232142857143,346.1932060764239,644.5357142857143,844.5714285714286,286.7113095238095,322.09001031988225,573.7142857142857,867.7142857142857,302.54464285714283,359.26910197798964,603.6785714285714,986.0,0.050430052157543336,61.53303571428571,14.174792830216022,42.05714285714286,47.892857142857146
20.67142857142857,143.0,1.72,218.0,94.6,20.535714285714285,3.5503748218122384,23.925,0.4571428571428572,7.4607142857142845,20.064285714285713,38.853571428571435,63.61428571428571,248.08035714285714,266.70722319336244,499.25,671.5714285714286,259.1220238095238,275.5725821201373,504.5357142857143,771.8571428571429,259.44940476190476,292.3973567611376,507.07142857142856,833.8571428571429,0.17680241371817668,68.53035714285714,15.020756386444308,48.48571428571428,54.489285714285714
24.3,143.0,1.72,218.0,94.6,20.535714285714285,4.55111501482254,22.752976190476193,0.0,9.532142857142857,20.785714285714285,34.792857142857144,60.82857142857143,221.13095238095235,258.58384560788494,447.60714285714283,689.1428571428571,253.51190476190476,278.081489253345,503.5,766.1428571428571,258.2767857142857,296.71169222255975,512.2857142857143,835.1428571428571,0.061828810387036616,60.49315476190476,17.403351676003695,36.957142857142856,43.903571428571425
24.142857142857142,143.0,1.72,218.0,94.6,17.934523809523807,3.2295976730478957,31.797619047619047,5.314285714285715,10.103571428571428,23.385714285714283,48.07142857142857,85.88571428571429,158.7738095238095,225.94379246652696,312.07142857142856,656.4285714285714,191.0178571428571,243.17217823601354,340.0,703.2857142857143,204.9255952380952,271.32240609891227,353.57142857142856,799.8571428571429,0.06902314401666645,69.70327380952381,13.75325079332326,48.98571428571428,56.91428571428571
39.58571428571429,143.0,1.72,218.0,94.6,15.87202380952381,4.414161358698671,9.450000000000001,0.0,0.0,7.578571428571428,17.09285714285714,44.74285714285714,302.69940476190476,356.5385908946722,646.4642857142857,861.7142857142857,197.9345238095238,250.5127533080623,422.60714285714283,681.8571428571429,252.4970238095238,325.35500200649705,540.25,892.7142857142857,0.0,60.15803571428571,15.503291597664917,37.51428571428572,45.653571428571425
18.74285714285714,143.0,1.72,218.0,94.6,15.151785714285714,2.385411535158628,45.18988095238095,12.171428571428573,34.13214285714286,38.75,56.685714285714276,83.28571428571429,89.36607142857143,141.85803304317827,176.78571428571428,432.57142857142856,81.92261904761905,117.16576742951422,165.14285714285714,355.7142857142857,104.88095238095238,153.27771561849787,203.53571428571428,482.14285714285717,0.27167698592073336,80.31160714285714,8.791099347779289,64.07142857142857,73.80357142857143
8.72857142857143,143.0,1.72,218.0,94.6,4.035714285714286,1.8929054100989224,39.46755952380953,0.5142857142857143,11.214285714285714,36.58571428571429,65.66785714285714,86.62857142857142,25.348214285714285,65.47254563631141,2.4642857142857144,307.0,46.81547619047619,74.7189067807667,83.35714285714286,239.71428571428572,54.90773809523809,91.66381194102841,88.21428571428571,342.85714285714283,0.040101347200107905,86.35059523809524,7.392801653646361,72.57142857142857,80.7
