,Y_test,Y_pred,Error,Error_Percent
count,1069.0,1069.0,1069.0,1069.0
mean,23.478531337698787,23.092605590820312,0.38592432356231315,37.46841082658293
std,17.94896022136874,17.907426834106445,3.4176010547492375,153.6709472068271
min,0.1,-1.460192322731018,-34.49368896484375,0.02138131480675919
25%,5.7,4.80060338973999,-0.7038215637207017,2.4299259028158926
50%,22.3,22.12423324584961,0.2681707382202152,6.826471310797909
75%,37.3,36.7886962890625,1.4260156631469725,21.461269773285963
max,78.65,68.82462310791016,33.641868019104,2499.826574325561
