,Y_test,Y_pred,Error,Error_Percent
count,1074.0,1074.0,1074.0,1074.0
mean,23.313454376163875,22.980697631835938,0.33275710646803647,37.46262273927198
std,17.963674205052275,17.790056228637695,3.515448822130922,183.09688597306578
min,0.1,-5.724506855010986,-37.486681365966795,0.0018325506472120097
25%,5.525,5.473298907279968,-0.7860408782958979,2.5249946108423753
50%,21.85,21.585786819458008,0.1693248748779297,6.601865545473478
75%,37.2,36.49138355255127,1.4165245175361638,18.862615258293587
max,78.65,70.99349212646484,36.550235176086424,3714.232301712036
