,Y_test,Y_pred,Error,Error_Percent
count,1074.0,1074.0,1074.0,1074.0
mean,23.313454376163875,23.417882919311523,-0.10442909923220814,41.39431841344832
std,17.963674205052275,17.773836135864258,3.4242354333061304,159.08152310810257
min,0.1,-1.5374245643615723,-38.58194580078125,0.012774311531839206
25%,5.525,5.6821898221969604,-0.9913895666599274,2.4513789154239296
50%,21.85,22.650582313537598,-0.03223266601562358,6.657932961688324
75%,37.2,36.81123161315918,1.1113668441772457,19.883795074275334
max,78.65,65.9866714477539,29.97461071014404,2228.205585479736
