,Y_test,Y_pred,Error,Error_Percent
count,1076.0,1076.0,1076.0,1076.0
mean,23.25376394052045,23.755067825317383,-0.5013028129691154,47.323212936601834
std,17.972651504400865,17.801984786987305,3.630120752188057,282.41043876646063
min,0.1,-0.5789579153060913,-31.416117095947264,0.0010594725608770172
25%,5.475,6.144569993019104,-1.4860542058944701,2.6329914865542947
50%,21.75,23.232576370239258,-0.3495304107665973,6.766276708203533
75%,37.2,36.72843837738037,0.6835344314575167,21.417247742139903
max,78.65,66.15318298339844,27.44893112182617,7560.741806030273
