,Y_test,Y_pred,Error,Error_Percent
count,1075.0,1075.0,1075.0,1075.0
mean,23.244139534883722,23.737516403198242,-0.49337799617258266,57.44274015982037
std,17.978242412979128,17.598562240600586,3.768806869932715,209.6874557288627
min,0.1,-0.5963553190231323,-34.29903869628906,0.005033764059350625
25%,5.45,6.202549695968628,-1.621928405761719,2.6544992872685165
50%,21.7,22.98712730407715,-0.4397953033447273,7.243700588450706
75%,37.2,36.60978126525879,0.8704267501831051,26.529129176216323
max,78.65,69.24903869628906,30.95564498901367,3784.4127655029297
