production,p_per_m2,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,gti_mean,gti_std,gti_q3,gti_max
0.8,143.0,218.0,94.6,0.434,42.61914893617021,53.8,61.400000000000006,18.76595744680851,79.28572785815965,0.0,389,29.638297872340427,52.90369656350354,57.5,246
16.9,143.0,218.0,94.6,0.434,4.558333333333334,0.0,1.0,85.85416666666667,166.08674862064066,64.25,583,81.70833333333333,140.9319978364899,155.25,523
1.4,143.0,218.0,94.6,0.434,22.277083333333334,8.1,51.05,15.791666666666666,58.24451698542316,0.0,314,38.0625,62.07901836592291,58.75,205
6.6,143.0,218.0,94.6,0.434,57.04791666666667,54.7,73.525,30.70833333333333,89.63138658412525,1.25,517,55.625,106.06413655816836,82.75,478
0.3,143.0,218.0,94.6,0.434,82.42291666666667,82.2,91.4,0.0,0.0,0.0,0,12.958333333333334,21.64801433902646,30.0,84
0.7,143.0,218.0,94.6,0.434,74.675,71.8,81.19999999999999,0.0,0.0,0.0,0,20.3125,33.064833958162424,42.25,94
1.2,143.0,218.0,94.6,0.434,58.41666666666666,57.8,68.55,1.0833333333333333,4.932882862316247,0.0,28,23.979166666666668,37.53324176764715,52.0,108
9.5,143.0,218.0,94.6,0.434,68.14375,69.25,95.5,46.04166666666666,134.55647526396115,0.0,541,59.75,132.50748674151657,34.5,489
5.3,143.0,218.0,94.6,0.434,66.27083333333333,68.4,84.0,23.5625,72.76979331528251,0.0,385,41.020833333333336,76.67324690385912,53.0,288
0.5,143.0,218.0,94.6,0.434,45.225,61.35,74.625,0.0,0.0,0.0,0,16.708333333333332,27.31141008017301,34.25,106
1.2,143.0,218.0,94.6,0.434,74.31875000000001,71.6,91.525,0.0,0.0,0.0,0,20.375,34.56269357608059,29.75,107
0.8,143.0,218.0,94.6,0.434,83.32708333333333,88.35,91.375,0.0,0.0,0.0,0,18.125,29.68460092227775,39.25,101
0.2,143.0,218.0,94.6,0.434,84.03333333333333,89.75,95.225,0.0,0.0,0.0,0,13.6875,23.788211142532383,18.5,76
8.4,143.0,218.0,94.6,0.434,45.71875,49.3,58.125,2.083333333333333,9.50886111562852,0.0,53,31.1875,51.18703968696465,41.5,159
5.0,143.0,218.0,94.6,0.434,25.6625,15.05,49.525,13.5,53.579926377686434,0.0,277,39.22916666666666,65.42764058471212,58.75,242
22.9,143.0,218.0,94.6,0.434,42.63333333333333,52.45,58.25,92.95833333333331,194.2813224926769,11.75,735,86.29166666666667,155.67245459800327,96.25,515
12.2,143.0,218.0,94.6,0.434,53.37916666666666,65.9,70.175,55.25,134.72280446365863,0.0,574,63.645833333333336,124.8047819568256,49.25,469
11.9,143.0,218.0,94.6,0.434,27.891666666666666,19.45,55.05,30.9375,87.01831703727669,0.0,490,49.0,92.7547670392775,71.25,459
41.7,143.0,218.0,94.6,0.434,9.402083333333334,0.0,0.0,230.47916666666663,338.7201185428373,598.75,828,159.4375,247.68759546414208,332.25,671
1.6,143.0,218.0,94.6,0.434,60.71666666666667,68.05000000000001,69.225,0.0,0.0,0.0,0,27.854166666666668,45.64478464455964,49.75,148
19.5,143.0,218.0,94.6,0.434,8.616666666666667,0.0,5.075,96.45833333333331,214.36943239673724,1.5,648,93.39583333333331,169.88027568666084,113.75,589
1.8,143.0,218.0,94.6,0.434,28.85833333333333,19.5,62.65,8.729166666666666,42.18588025522048,0.0,262,27.58333333333333,42.20458447082034,53.75,151
2.7,143.0,218.0,94.6,0.434,46.94791666666666,46.7,57.85,0.0,0.0,0.0,0,38.75,64.58986812054803,64.0,190
0.9,143.0,218.0,94.6,0.434,51.90833333333333,65.15,76.75,0.1666666666666666,1.1547005383792517,0.0,8,15.916666666666666,24.162423202888007,31.25,70
2.9,143.0,218.0,94.6,0.434,58.97083333333333,62.05,78.65,0.1666666666666666,1.1547005383792517,0.0,8,24.416666666666668,39.11566771758994,46.75,125
3.1,143.0,218.0,94.6,0.434,77.03333333333333,74.9,92.225,0.0208333333333333,0.1443375672974064,0.0,1,24.791666666666668,40.72531667697278,44.75,129
4.4,143.0,218.0,94.6,0.434,74.49791666666667,75.85,87.85,3.8958333333333335,20.03639197924864,0.0,126,31.08333333333333,61.860802332723,37.75,274
1.4,143.0,218.0,94.6,0.434,69.67708333333333,74.69999999999999,83.175,0.0,0.0,0.0,0,23.27083333333333,36.47543013517591,59.0,106
22.3,143.0,218.0,94.6,0.434,49.989583333333336,51.45,66.25,96.47916666666669,218.03796171361293,2.25,808,100.64583333333331,181.23776432165585,156.5,665
4.6,143.0,218.0,94.6,0.434,50.43541666666667,52.75,79.7,1.8958333333333333,8.488389024246612,0.0,53,31.83333333333333,49.11442711011307,67.25,165
18.6,143.0,218.0,94.6,0.434,59.12708333333333,65.25,79.65,70.29166666666667,189.44476075069088,0.0,746,85.0,156.82799901993184,94.75,571
1.1,143.0,218.0,94.6,0.434,77.0125,78.45,83.3,0.0,0.0,0.0,0,24.83333333333333,40.37764988120382,41.75,142
16.1,143.0,218.0,94.6,0.434,66.1875,74.3,92.55,74.04166666666667,186.7414822841293,0.0,755,86.89583333333333,166.46490136519716,89.5,651
2.0,143.0,218.0,94.6,0.434,63.520833333333336,66.6,77.075,0.0,0.0,0.0,0,29.1875,46.93846413010994,55.25,168
38.2,143.0,218.0,94.6,0.434,23.916666666666668,0.0,57.375,235.6458333333333,357.2291409322673,607.5,868,178.25,275.88908502157625,371.0,731
42.1,143.0,218.0,94.6,0.434,1.2291666666666667,0.0,0.0,261.25,359.29632765146624,659.5,861,187.3958333333333,276.6576146194974,404.25,741
39.9,143.0,218.0,94.6,0.434,17.65625,0.0,50.6,254.5,361.3222172533141,625.0,893,186.5833333333333,279.17399693985806,384.0,758
1.5,143.0,218.0,94.6,0.434,53.54791666666667,60.7,81.55,0.0,0.0,0.0,0,22.9375,36.19768785962687,36.25,144
22.9,143.0,218.0,94.6,0.434,28.75,31.3,49.4,76.77083333333333,176.9001689357688,22.0,690,103.0625,174.1500216858772,165.0,604
7.3,143.0,218.0,94.6,0.434,66.56041666666667,66.65,77.9,1.5833333333333333,6.788078828681733,0.0,35,45.47916666666666,72.46921270981315,80.75,272
1.7,143.0,218.0,94.6,0.434,75.54375,77.95,79.625,0.0,0.0,0.0,0,28.39583333333333,41.50454452601616,68.0,135
9.3,143.0,218.0,94.6,0.434,48.60833333333333,50.900000000000006,77.825,33.333333333333336,102.56774270681612,0.0,552,61.54166666666666,99.1145819474104,118.0,456
