production,p_per_m2,panel_area,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,ghi_std,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_std,relative_humidity_min
2.9,143.0,1.72,218.0,94.6,0.434,58.97083333333333,51.8,62.05,78.65,0.1666666666666666,1.1547005383792517,0.0,8,40.52802528292408,24.416666666666668,39.11566771758994,46.75,125,2.578380346800289,71.1
3.1,143.0,1.72,218.0,94.6,0.434,77.03333333333333,65.2,74.9,92.225,0.0208333333333333,0.1443375672974064,0.0,1,41.96650450061335,24.791666666666668,40.72531667697278,44.75,129,3.227902921325796,75.4
4.4,143.0,1.72,218.0,94.6,0.434,74.49791666666667,68.15,75.85,87.85,3.8958333333333335,20.03639197924864,0.0,126,57.28738056178869,31.08333333333333,61.860802332723,37.75,274,4.191137538335883,70.5
1.4,143.0,1.72,218.0,94.6,0.434,69.67708333333333,54.15,74.69999999999999,83.175,0.0,0.0,0.0,0,37.69923433577326,23.27083333333333,36.47543013517591,59.0,106,1.507709208281753,85.4
22.3,143.0,1.72,218.0,94.6,0.434,49.989583333333336,38.7,51.45,66.25,96.47916666666669,218.03796171361293,2.25,808,110.82956053942333,100.64583333333331,181.23776432165585,156.5,665,8.150315444445791,65.5
4.6,143.0,1.72,218.0,94.6,0.434,50.43541666666667,29.025,52.75,79.7,1.8958333333333333,8.488389024246612,0.0,53,50.35455408422635,31.83333333333333,49.11442711011307,67.25,165,3.8782513241580143,70.5
18.6,143.0,1.72,218.0,94.6,0.434,59.12708333333333,47.375,65.25,79.65,70.29166666666667,189.44476075069088,0.0,746,101.03442816069612,85.0,156.82799901993184,94.75,571,6.599524147363286,66.9
1.1,143.0,1.72,218.0,94.6,0.434,77.0125,72.65,78.45,83.3,0.0,0.0,0.0,0,41.78184965978538,24.83333333333333,40.37764988120382,41.75,142,4.05717067243273,83.9
16.1,143.0,1.72,218.0,94.6,0.434,66.1875,56.5,74.3,92.55,74.04166666666667,186.7414822841293,0.0,755,105.94413212257524,86.89583333333333,166.46490136519716,89.5,651,6.073754359642528,78.7
2.0,143.0,1.72,218.0,94.6,0.434,63.520833333333336,58.575,66.6,77.075,0.0,0.0,0.0,0,48.63837010117929,29.1875,46.93846413010994,55.25,168,8.024907756700154,69.5
38.2,143.0,1.72,218.0,94.6,0.434,23.916666666666668,0.0,0.0,57.375,235.6458333333333,357.2291409322673,607.5,868,156.0085865521965,178.25,275.88908502157625,371.0,731,11.265593605788377,57.8
42.1,143.0,1.72,218.0,94.6,0.434,1.2291666666666667,0.0,0.0,0.0,261.25,359.29632765146624,659.5,861,157.55322752500533,187.3958333333333,276.6576146194974,404.25,741,9.946743827301349,61.9
39.9,143.0,1.72,218.0,94.6,0.434,17.65625,0.0,0.0,50.6,254.5,361.3222172533141,625.0,893,160.22319870810009,186.5833333333333,279.17399693985806,384.0,758,11.406907940316913,53.1
1.5,143.0,1.72,218.0,94.6,0.434,53.54791666666667,31.75,60.7,81.55,0.0,0.0,0.0,0,37.57543240692482,22.9375,36.19768785962687,36.25,144,9.919033703437506,66.5
22.9,143.0,1.72,218.0,94.6,0.434,28.75,1.0499999999999998,31.3,49.4,76.77083333333333,176.9001689357688,22.0,690,120.25661097116242,103.0625,174.1500216858772,165.0,604,9.857640725536664,63.5
7.3,143.0,1.72,218.0,94.6,0.434,66.56041666666667,54.125,66.65,77.9,1.5833333333333333,6.788078828681733,0.0,35,73.77307308264132,45.47916666666666,72.46921270981315,80.75,272,5.112267525797058,59.9
1.7,143.0,1.72,218.0,94.6,0.434,75.54375,70.975,77.95,79.625,0.0,0.0,0.0,0,43.03824787490591,28.39583333333333,41.50454452601616,68.0,135,9.406809627917776,55.6
9.3,143.0,1.72,218.0,94.6,0.434,48.60833333333333,21.625,50.900000000000006,77.825,33.333333333333336,102.56774270681612,0.0,552,80.09628237536752,61.54166666666666,99.1145819474104,118.0,456,6.248867982589304,68.7
16.3,143.0,1.72,218.0,94.6,0.434,32.25625,7.675,31.9,49.75,63.97916666666666,144.64666996237997,35.75,777,124.23838723076749,102.04166666666669,165.42555802604065,159.5,610,12.75561828655673,58.1
45.3,143.0,1.72,218.0,94.6,0.434,2.3208333333333333,0.0,0.0,0.0,260.0625,350.90275104576955,664.25,829,172.14650283905368,196.66666666666663,284.7460483601793,432.25,758,15.810055490412708,46.8
46.9,143.0,1.72,218.0,94.6,0.434,3.1750000000000003,0.0,0.0,0.0,257.5208333333333,352.02762159417017,641.0,843,175.02607201935606,197.8125,287.80819974494386,432.5,767,13.63246021931498,44.6
