date,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,building_id
2019-03-01,2.0,143.0,210,1.72,251.0,111.8,0.445,8.715789473684211,10,138.3578947368421,199.09473684210528,50.48,31.87368421052632,172,30.77894736842105,166,16.566315789473684,13.7,19.0,0.483157894736842,0.0,1.5,83.80105263157895,75.3,87.8,1017.2589473684212,1015.0,1020.8,257.42105263157896,219,288,6.076842105263157,4.2,7.8,3
2019-03-02,6.6,143.0,210,1.72,251.0,111.8,0.445,8.770833333333334,11,149.5,221.3958333333333,43.625,63.66666666666666,295,61.8125,303,14.847916666666668,13.6,17.3,0.03125,0.0,0.1,79.56875000000001,63.1,88.8,1018.81875,1017.2,1020.9,214.3125,199,245,5.658333333333334,3.9,7.3,3
2019-03-03,4.0,143.0,210,1.72,251.0,111.8,0.445,10.8125,13,153.52083333333334,228.7083333333333,63.72083333333333,48.54166666666666,343,48.6875,419,16.429166666666667,13.3,17.8,0.0,0.0,0.0,68.04166666666667,57.4,81.6,1014.3583333333332,1006.6,1018.9,210.2708333333333,192,227,8.525,7.4,10.3,3
2019-03-04,11.7,143.0,210,1.72,251.0,111.8,0.445,9.673469387755102,12,151.9795918367347,222.53061224489795,63.06122448979592,65.48979591836735,459,73.71428571428571,606,14.422448979591838,10.4,17.2,0.3204081632653061,0.0,1.6,63.5734693877551,51.6,80.5,1004.2775510204082,1000.4,1010.3,221.1836734693877,195,246,10.53877551020408,8.0,13.7,3
2019-03-05,3.4,143.0,210,1.72,251.0,111.8,0.445,7.458333333333333,9,160.64583333333334,237.375,60.18333333333334,49.35416666666666,229,47.85416666666666,221,14.266666666666666,10.3,18.1,0.25625,0.0,1.0,77.27083333333333,65.3,85.2,1011.9166666666666,1010.4,1014.0,218.875,182,254,7.697916666666667,5.4,9.8,3
2019-03-06,20.9,143.0,210,1.72,251.0,111.8,0.445,9.125,15,164.33333333333334,242.16666666666663,46.46666666666667,109.3125,509,130.1875,699,14.945833333333333,11.4,21.1,0.0041666666666666,0.0,0.1,68.08333333333333,45.5,87.3,1005.9666666666668,998.9,1013.5,172.25,153,190,5.458333333333333,3.4,6.8,3
2019-03-07,22.2,143.0,210,1.72,251.0,111.8,0.445,9.791666666666666,12,167.91666666666666,246.22916666666663,40.84166666666667,96.97916666666669,569,122.70833333333331,823,14.497916666666669,10.7,19.3,0.1729166666666667,0.0,0.7,69.13958333333333,54.9,82.1,1003.4729166666666,996.6,1009.8,205.97916666666663,157,235,9.164583333333333,4.8,11.5,3
2019-03-08,24.2,143.0,210,1.72,251.0,111.8,0.445,8.833333333333334,12,173.39583333333334,253.54166666666663,40.975,102.64583333333331,419,117.77083333333331,534,11.385416666666666,9.3,15.2,0.06875,0.0,0.5,63.00833333333333,41.3,80.4,1016.3458333333332,1010.1,1019.9,229.8333333333333,203,247,7.597916666666666,5.3,9.6,3
2019-03-09,2.7,143.0,210,1.72,251.0,111.8,0.445,10.0,12,168.375,241.0,56.83125,40.770833333333336,159,39.395833333333336,153,15.852083333333333,12.8,20.7,0.09375,0.0,0.6,74.97500000000001,65.8,80.7,1019.025,1017.4,1020.7,222.85416666666663,201,239,10.085416666666667,8.4,12.2,3
2019-03-10,23.7,143.0,210,1.72,251.0,111.8,0.445,11.395833333333334,15,171.39583333333334,243.97916666666663,45.7,109.47916666666669,593,141.8125,838,16.5625,7.3,27.4,0.45625,0.0,2.4,69.28541666666666,44.1,89.9,1014.6125,1010.4,1021.7,239.1458333333333,188,274,11.829166666666666,7.9,15.0,3
