LSTM1_units,LSTM1_activation,DROPOUT1_rate,LSTM2_units,LSTM2_activation,DROPOUT2_rate,learning_rate,loss,val_loss
512,tanh,0.2,265,tanh,0.2,0.001,5.18522834777832,3.408642530441284
512,tanh,0.2,128,sigmoid,0.1,0.01,29.67815589904785,9.144049644470215
512,sigmoid,0.1,265,tanh,0.1,0.01,40.1234130859375,16.38083839416504
512,sigmoid,0.1,128,sigmoid,0.2,0.001,8.886201858520508,5.07141637802124
256,tanh,0.1,265,sigmoid,0.2,0.01,8.088656425476074,4.482182502746582
256,tanh,0.1,128,tanh,0.1,0.001,5.822016716003418,3.551262378692627
256,sigmoid,0.2,265,sigmoid,0.1,0.001,9.622010231018066,5.926693439483643
256,sigmoid,0.2,128,tanh,0.2,0.01,16.5408992767334,6.367766380310059
